Timestamp;Numpack;O1;O2;T3;T4;Timestamp_ms;label
227;113;-0,041446344;-0,056191307;-0,051892521;-0,054629569;1708638582092;Relax
228;113;-0,041395608;-0,056178337;-0,051880695;-0,054613928;1708638582092;Relax
229;114;-0,041366998;-0,056182533;-0,051878406;-0,054611258;1708638582107;Relax
230;114;-0,04136738;-0,056180626;-0,05188184;-0,054602484;1708638582107;Relax
231;115;-0,041413919;-0,056224495;-0,051871158;-0,054591422;1708638582107;Relax
232;115;-0,0414349;-0,056241661;-0,051869633;-0,054581885;1708638582107;Relax
233;116;-0,041402093;-0,056234032;-0,051869633;-0,0545857;1708638582123;Relax
234;116;-0,041347162;-0,056229073;-0,051852848;-0,054579596;1708638582123;Relax
235;117;-0,041338006;-0,056233269;-0,051836826;-0,054576544;1708638582123;Relax
236;117;-0,041386072;-0,056255394;-0,051843693;-0,054563574;1708638582123;Relax
237;118;-0,041413537;-0,056261879;-0,051838352;-0,054552512;1708638582139;Relax
238;118;-0,041363565;-0,056257302;-0,051829197;-0,054550986;1708638582139;Relax
239;119;-0,041306726;-0,056266838;-0,051821567;-0,054549841;1708638582139;Relax
240;119;-0,041311303;-0,056274849;-0,051826908;-0,054541068;1708638582139;Relax
241;120;-0,041381112;-0,0562985;-0,051834156;-0,054529624;1708638582155;Relax
242;120;-0,041391794;-0,056311852;-0,051818516;-0,054518179;1708638582155;Relax
243;121;-0,041343347;-0,056307656;-0,05180936;-0,054515509;1708638582171;Relax
244;121;-0,0412949;-0,056308419;-0,051799061;-0,054518942;1708638582171;Relax
245;122;-0,041290323;-0,056301934;-0,051805546;-0,054511694;1708638582171;Relax
246;122;-0,041363946;-0,056333977;-0,051802112;-0,054497199;1708638582171;Relax
247;123;-0,041368142;-0,056344277;-0,051784565;-0,054480032;1708638582187;Relax
248;123;-0,04133381;-0,056340462;-0,051786472;-0,054483084;1708638582187;Relax
249;124;-0,041279641;-0,056351525;-0,051778461;-0,05448728;1708638582187;Relax
250;124;-0,041275445;-0,056368309;-0,051776935;-0,054490332;1708638582187;Relax
251;125;-0,041335336;-0,056379372;-0,051779224;-0,054478888;1708638582203;Relax
252;125;-0,041373865;-0,056414467;-0,051779606;-0,054480795;1708638582203;Relax
253;126;-0,041326181;-0,056404931;-0,051779224;-0,054470877;1708638582203;Relax
254;126;-0,041274301;-0,05639959;-0,051772739;-0,054468207;1708638582203;Relax
255;127;-0,041277734;-0,056407601;-0,051771213;-0,054462485;1708638582219;Relax
256;127;-0,041337625;-0,056425148;-0,051766254;-0,054446463;1708638582219;Relax
257;128;-0,041344491;-0,056436974;-0,051770832;-0,054447989;1708638582219;Relax
258;128;-0,041304056;-0,056439263;-0,051750232;-0,054446463;1708638582219;Relax
259;129;-0,041258279;-0,056429345;-0,051747181;-0,05444837;1708638582251;Relax
260;129;-0,041256753;-0,056440026;-0,051744892;-0,054438452;1708638582251;Relax
261;130;-0,041306726;-0,056457573;-0,051744892;-0,054422812;1708638582251;Relax
262;130;-0,041327707;-0,05647474;-0,051746799;-0,054423193;1708638582251;Relax
263;131;-0,041303674;-0,056486947;-0,051738407;-0,054423956;1708638582283;Relax
264;131;-0,041252557;-0,056484658;-0,051737262;-0,054424338;1708638582283;Relax
265;132;-0,041247598;-0,056485802;-0,051729252;-0,054415945;1708638582283;Relax
266;132;-0,041303674;-0,056493432;-0,051733448;-0,054406409;1708638582283;Relax
267;133;-0,041325799;-0,056519753;-0,051742603;-0,054408698;1708638582283;Relax
268;133;-0,041291467;-0,056523186;-0,051733829;-0,054404883;1708638582283;Relax
269;134;-0,041234246;-0,056505639;-0,051726963;-0,054396872;1708638582283;Relax
270;134;-0,041226236;-0,056522805;-0,051728107;-0,054393057;1708638582283;Relax
271;135;-0,041321222;-0,056560952;-0,051725818;-0,054383902;1708638582283;Relax
272;135;-0,041316644;-0,056549889;-0,051729633;-0,054376273;1708638582283;Relax
273;136;-0,041278878;-0,056562478;-0,051733066;-0,054382376;1708638582314;Relax
274;136;-0,041235009;-0,056568963;-0,051719333;-0,054379324;1708638582314;Relax
275;137;-0,041230432;-0,056577736;-0,05170026;-0,054374747;1708638582314;Relax
276;137;-0,041276208;-0,056589943;-0,051710941;-0,054373602;1708638582314;Relax
277;138;-0,041299859;-0,056612069;-0,051710178;-0,054364828;1708638582314;Relax
278;138;-0,04127926;-0,056611687;-0,051702167;-0,054367117;1708638582314;Relax
279;139;-0,041223565;-0,056609017;-0,05169759;-0,054361014;1708638582314;Relax
280;139;-0,04123005;-0,056629998;-0,051701404;-0,054365591;1708638582314;Relax
281;140;-0,041283456;-0,056636864;-0,051707889;-0,054359106;1708638582330;Relax
282;140;-0,041312448;-0,05664602;-0,051708652;-0,054350714;1708638582330;Relax
283;141;-0,041261712;-0,056651742;-0,051698353;-0,054345755;1708638582330;Relax
284;141;-0,041206399;-0,056642586;-0,051695301;-0,054342322;1708638582330;Relax
285;142;-0,041207162;-0,056640298;-0,051691868;-0,054338126;1708638582330;Relax
286;142;-0,041275445;-0,056667;-0,051689579;-0,054318671;1708638582330;Relax
287;143;-0,041286508;-0,056683404;-0,051691486;-0,054312567;1708638582330;Relax
288;143;-0,041243783;-0,056686074;-0,051686527;-0,054315619;1708638582330;Relax
289;144;-0,041199151;-0,056694848;-0,051680805;-0,054317908;1708638582345;Relax
290;144;-0,041203729;-0,056697137;-0,051678898;-0,054313711;1708638582345;Relax
291;145;-0,041252557;-0,056711251;-0,051685001;-0,054312186;1708638582345;Relax
292;145;-0,041261712;-0,056721932;-0,051678898;-0,054311041;1708638582345;Relax
293;146;-0,041234628;-0,056721932;-0,051663639;-0,054306845;1708638582361;Relax
294;146;-0,041180459;-0,056721169;-0,05166135;-0,054298071;1708638582361;Relax
295;147;-0,041177789;-0,05672918;-0,05166402;-0,054298834;1708638582361;Relax
296;147;-0,041231195;-0,056742913;-0,051668216;-0,054284338;1708638582361;Relax
297;148;-0,041262857;-0,056753213;-0,051660968;-0,054286627;1708638582377;Relax
298;148;-0,04121441;-0,056746728;-0,051663639;-0,054276709;1708638582377;Relax
299;149;-0,041169778;-0,056747109;-0,051654102;-0,054274039;1708638582377;Relax
300;149;-0,041180078;-0,056759698;-0,051654483;-0,054272131;1708638582377;Relax
301;150;-0,041243402;-0,056774575;-0,051657917;-0,054270224;1708638582409;Relax
302;150;-0,041246454;-0,056780679;-0,051654102;-0,054259161;1708638582409;Relax
303;151;-0,041202203;-0,056780297;-0,051647236;-0,054260306;1708638582425;Relax
304;151;-0,041165582;-0,056781823;-0,051643421;-0,054267554;1708638582425;Relax
305;152;-0,041172067;-0,056811959;-0,051643421;-0,054261832;1708638582425;Relax
306;152;-0,041226999;-0,056834847;-0,05164838;-0,054258398;1708638582425;Relax
