_id;experiment;timestamp;timestamp_ms;signal_eeg_01;signal_eeg_02;signal_eeg_t3;signal_eeg_t4;resistance_eeg_01;resistance_eeg_02;resistance_eeg_t3;resistance_eeg_t4;label
;20240130101353;20240130_10:57:55,047;1706651875047;0,325553;-0,736376;0,446479;0,335922;;;;;RELAX
;20240130101353;20240130_10:57:55,059;1706651875059;-0,422972;-0,673791;0,229238;-0,211366;;;;;RELAX
;20240130101353;20240130_10:57:55,077;1706651875077;-0,0385236;-0,464613;-0,046819;0,228469;;;;;RELAX
;20240130101353;20240130_10:57:55,095;1706651875095;-0,223098;-0,746226;0,106857;-0,373784;;;;;RELAX
;20240130101353;20240130_10:57:55,110;1706651875110;-1,21712;-1,09327;-0,911582;-0,020722;;;;;RELAX
;20240130101353;20240130_10:57:55,128;1706651875128;-0,883385;-1,15098;-0,221668;-0,712036;;;;;RELAX
;20240130101353;20240130_10:57:55,144;1706651875144;-0,719376;-1,89727;-0,177183;-0,180039;;;;;RELAX
;20240130101353;20240130_10:57:55,164;1706651875164;-0,447651;-0,026789;-0,585571;-0,140582;;;;;RELAX
;20240130101353;20240130_10:57:55,176;1706651875176;-0,950088;-0,218412;-0,885645;-0,0317487;;;;;RELAX
;20240130101353;20240130_10:57:55,193;1706651875193;-0,182117;-0,301463;0,035166;0,628593;;;;;RELAX
;20240130101353;20240130_10:57:55,210;1706651875210;0,385249;0,790013;0,442428;0,662788;;;;;RELAX
;20240130101353;20240130_10:57:55,226;1706651875226;2,83518;0,10563;0,972793;0,433305;;;;;RELAX
;20240130101353;20240130_10:57:55,245;1706651875245;-0,730367;-0,810013;-1,03247;0,134227;;;;;RELAX
;20240130101353;20240130_10:57:55,260;1706651875260;-0,285042;-0,590722;0,120896;0,067612;;;;;RELAX
;20240130101353;20240130_10:57:55,281;1706651875281;0,0201793;0,331192;0,159225;0,084878;;;;;RELAX
;20240130101353;20240130_10:57:55,292;1706651875292;-1,05595;-0,730095;-0,485606;0,0492048;;;;;RELAX
;20240130101353;20240130_10:57:55,311;1706651875311;-0,323298;-0,516772;0,218534;-0,262221;;;;;RELAX
;20240130101353;20240130_10:57:55,329;1706651875329;0,407203;0,493693;-0,404058;0,191959;;;;;RELAX
;20240130101353;20240130_10:57:55,343;1706651875343;-0,373655;-0,910699;-1,01446;-0,203768;;;;;RELAX
;20240130101353;20240130_10:57:55,361;1706651875361;-0,0524657;-0,730861;0,0367897;-0,238763;;;;;RELAX
;20240130101353;20240130_10:57:55,377;1706651875377;-0,790689;-0,789818;-1,03293;-0,108001;;;;;RELAX
;20240130101353;20240130_10:57:55,394;1706651875394;-0,554574;0,541561;-0,0887911;0,0540298;;;;;RELAX
;20240130101353;20240130_10:57:55,410;1706651875410;2,49976;1,21913;1,84796;0,960667;;;;;RELAX
;20240130101353;20240130_10:57:55,428;1706651875428;-0,116309;-0,253973;-0,534678;-0,304832;;;;;RELAX
;20240130101353;20240130_10:57:55,444;1706651875444;0,526097;0,769494;-0,785113;0,301911;;;;;RELAX
;20240130101353;20240130_10:57:55,461;1706651875461;2,17166;0,15144;-0,205578;0,997346;;;;;RELAX
;20240130101353;20240130_10:57:55,476;1706651875476;2,42029;2,00642;0,097867;0,919734;;;;;RELAX
;20240130101353;20240130_10:57:55,493;1706651875493;1,63265;1,09119;1,42113;0,0714347;;;;;RELAX
;20240130101353;20240130_10:57:55,509;1706651875509;1,73647;2,06129;1,66426;0,261452;;;;;RELAX
;20240130101353;20240130_10:57:55,530;1706651875530;-0,679534;-0,343004;-0,794007;-0,632602;;;;;RELAX
;20240130101353;20240130_10:57:55,546;1706651875546;0,119971;-0,128909;-0,326677;-0,421649;;;;;RELAX
;20240130101353;20240130_10:57:55,560;1706651875560;-0,0503961;-0,002308;0,563131;-0,130118;;;;;RELAX
;20240130101353;20240130_10:57:55,577;1706651875577;0,150622;0,713393;-0,377353;0,153171;;;;;RELAX
;20240130101353;20240130_10:57:55,594;1706651875594;-0,0424222;2,00019;-0,367941;1,48942;;;;;RELAX
;20240130101353;20240130_10:57:55,610;1706651875610;-0,0002155;1,54755;0,0274651;0,486081;;;;;RELAX
;20240130101353;20240130_10:57:55,626;1706651875626;0,648553;0,243721;0,729149;0,223871;;;;;RELAX
;20240130101353;20240130_10:57:55,646;1706651875646;0,952546;1,67808;-0,140309;0,10375;;;;;RELAX
;20240130101353;20240130_10:57:55,661;1706651875661;-0,075795;-0,537321;-2,79332;-0,239727;;;;;RELAX
;20240130101353;20240130_10:57:55,685;1706651875685;-0,190434;0,12533;0,324674;0,537952;;;;;RELAX
;20240130101353;20240130_10:57:55,693;1706651875693;-0,190434;0,12533;0,324674;0,537952;;;;;RELAX
;20240130101353;20240130_10:57:55,710;1706651875710;0,786123;0,397392;0,417155;0,442653;;;;;RELAX
;20240130101353;20240130_10:57:55,726;1706651875726;0,413425;1,51955;1,44037;0,818813;;;;;RELAX
;20240130101353;20240130_10:57:55,748;1706651875748;-1,96468;-1,23163;-0,297361;-0,199365;;;;;RELAX
;20240130101353;20240130_10:57:55,764;1706651875764;-1,15688;-0,0401017;-1,02979;0,179789;;;;;RELAX
