_id;timestamp;experiment;O1;O2;T3;T4;timestamp_ms;label
;2024-02-27T21:25:18,423Z;37;0,15391000000000;-0,02651700000000;0,69542600000000;0,41690900000000;1709069118423;Noise
;2024-02-27T21:25:18,428Z;37;1,54615000000000;-1,59244000000000;-1,26436000000000;-0,08901290000000;1709069118428;Noise
;2024-02-27T21:25:18,433Z;37;1,54615000000000;-1,59244000000000;-1,26436000000000;-0,08901290000000;1709069118433;Noise
;2024-02-27T21:25:18,438Z;37;1,22215000000000;-1,89214000000000;-2,01003000000000;-0,66186700000000;1709069118438;Noise
;2024-02-27T21:25:18,443Z;37;1,22215000000000;-2,08806000000000;-2,01003000000000;-0,66186700000000;1709069118443;Noise
;2024-02-27T21:25:18,448Z;37;1,22215000000000;-2,08806000000000;-2,01003000000000;-0,66186700000000;1709069118447;Noise
;2024-02-27T21:25:18,453Z;37;1,32172000000000;-2,20679000000000;-0,88778700000000;-0,75547700000000;1709069118453;Noise
;2024-02-27T21:25:18,458Z;37;0,93143600000000;-2,09275000000000;-0,77514400000000;-1,18881000000000;1709069118457;Noise
;2024-02-27T21:25:18,462Z;37;0,93143600000000;-2,09275000000000;-0,77514400000000;-1,18881000000000;1709069118462;Noise
;2024-02-27T21:25:18,467Z;37;0,93143600000000;-2,09275000000000;-1,47374000000000;-1,18881000000000;1709069118467;Noise
;2024-02-27T21:25:18,473Z;37;1,08547000000000;-0,88541800000000;-0,01967000000000;-0,18271200000000;1709069118472;Noise
;2024-02-27T21:25:18,477Z;37;1,08547000000000;-0,88541800000000;-0,01967000000000;-0,18271200000000;1709069118477;Noise
;2024-02-27T21:25:18,482Z;37;1,48253000000000;-1,08008000000000;-0,19064000000000;-0,17875400000000;1709069118482;Noise
;2024-02-27T21:25:18,487Z;37;0,44852800000000;-1,42422000000000;-1,02638000000000;-0,59147600000000;1709069118487;Noise
;2024-02-27T21:25:18,491Z;37;0,44852800000000;-1,42422000000000;-1,02638000000000;-0,59147600000000;1709069118491;Noise
;2024-02-27T21:25:18,496Z;37;0,44852800000000;-1,42422000000000;-1,02638000000000;-0,59147600000000;1709069118496;Noise
;2024-02-27T21:25:18,501Z;37;0,21114800000000;-1,53663000000000;-0,70878600000000;-0,06106300000000;1709069118501;Noise
